description,avg_gross_charge,description_clean
CefOXitin IN DEXTROSE (DUPLEX) 1 GRAM/50 ML PGBK,130.0,cefoxitin in dextrose (duplex) 1 gram/50 ml pgbk
CefOXitin IN DEXTROSE (DUPLEX) 2 GRAM/50 ML PGBK,193.0,cefoxitin in dextrose (duplex) 2 gram/50 ml pgbk
CefTAZidime 1 GRAM SOLR,38.0,ceftazidime 1 gram solr
CefTRIaxONE 1 GRAM SOLR,38.0,ceftriaxone 1 gram solr
CefTRIaxONE 2 GRAM SOLR,38.0,ceftriaxone 2 gram solr
CefTRIaxONE 250 MG SOLR,38.0,ceftriaxone 250 mg solr
CefTRIaxONE 500 MG SOLR,38.0,ceftriaxone 500 mg solr
CefTRIaxONE IN DEXTROSE (DUPLEX) 1 GRAM/50 ML PGBK,133.5,ceftriaxone in dextrose (duplex) 1 gram/50 ml pgbk
CefTRIaxONE IN DEXTROSE (DUPLEX) 2 GRAM/50 ML PGBK,161.25,ceftriaxone in dextrose (duplex) 2 gram/50 ml pgbk
ChlordiazePOXIDE 25 MG CAP,2.0,chlordiazepoxide 25 mg cap
ChlordiazePOXIDE 5 MG CAP,9.0,chlordiazepoxide 5 mg cap
ChlorproMAZINE 10 MG TAB,7.5,chlorpromazine 10 mg tab
ChlorproMAZINE 25 MG TAB,10.25,chlorpromazine 25 mg tab
ChlorproMAZINE 25 MG/ML AMP,149.0,chlorpromazine 25 mg/ml amp
CloNIDine 0.1 MG TAB,3.0,clonidine 0.1 mg tab
CloNIDine 0.1 MG/24 HR PTWK,41.25,clonidine 0.1 mg/24 hr ptwk
ClonazePAM 0.125 MG TBDI,11.75,clonazepam 0.125 mg tbdi
ClonazePAM 0.5 MG TAB,2.0,clonazepam 0.5 mg tab
ClonazePAM 1 MG TAB,2.0,clonazepam 1 mg tab
CycloSPORINE 0.05 % DPET,15.75,cyclosporine 0.05 % dpet
CycloSPORINE 25 MG CAP,25.5,cyclosporine 25 mg cap
CycloSPORINE MODIFIED 100 MG CAP,16.5,cyclosporine modified 100 mg cap
CycloSPORINE MODIFIED 25 MG CAP,4.75,cyclosporine modified 25 mg cap
D-DIMER,184.25,d-dimer
D5 1/2 NS W 40MEQ KCL,112.18,d5 1/2 ns w 40meq kcl
D5 1/2 NS W/20 MEQ KCL,112.18,d5 1/2 ns w/20 meq kcl
D5 NS W/20 MEQ 20 KCL,112.18,d5 ns w/20 meq 20 kcl
D5-1/2 NS W/ KCL (PRE-MIX) 20 MEQ/L SOLP,38.0,d5-1/2 ns w/ kcl (pre-mix) 20 meq/l solp
D5-1/2 NS W/ KCL (PRE-MIX) 40 MEQ/L SOLP,38.0,d5-1/2 ns w/ kcl (pre-mix) 40 meq/l solp
D5-NS W/ KCL (PRE-MIX) 20 MEQ/L SOLP,38.0,d5-ns w/ kcl (pre-mix) 20 meq/l solp
DABIGATRAN ETEXILATE 75 MG CAP,30.0,dabigatran etexilate 75 mg cap
DABRAFENIB 75 MG CAP,402.25,dabrafenib 75 mg cap
"DAILY SNF CARE, COMPREHEN",280.5,"daily snf care, comprehen"
"DAILY SNF CARE, DETAILED",189.5,"daily snf care, detailed"
"DAILY SNF CARE, LOW",91.5,"daily snf care, low"
"DAILY SNF CARE, MODERATE",143.25,"daily snf care, moderate"
DALBAVANCIN 500 MG SOLN,2532.75,dalbavancin 500 mg soln
DALFAMPRIDINE 10 MG TB12,13.5,dalfampridine 10 mg tb12
DANAZOL 100 MG CAP,35.0,danazol 100 mg cap
DANTROLENE 25 MG CAP,11.25,dantrolene 25 mg cap
DANTROLENE 50 MG CAP,16.75,dantrolene 50 mg cap
DANTROLENE SODIUM 20 MG SOLR,315.5,dantrolene sodium 20 mg solr
DAPAGLIFLOZIN 10 MG TAB,87.0,dapagliflozin 10 mg tab
DAPSONE 100 MG TAB,27.5,dapsone 100 mg tab
DAPTOmycin 50MG/ML SOLR,121.0,daptomycin 50mg/ml solr
DARATUMUMAB 20 MG/ML VIAL,3423.75,daratumumab 20 mg/ml vial
DARATUMUMAB-HYALURONIDASE-FIHJ 1800 MG-30000 UNIT/15 ML VIAL,11600.5,daratumumab-hyaluronidase-fihj 1800 mg-30000 unit/15 ml vial
DARBEPOETIN ALFA 100 MCG/0.5 ML SYRG,2375.75,darbepoetin alfa 100 mcg/0.5 ml syrg
DARBEPOETIN ALFA 100 MCG/ML VIAL,2375.75,darbepoetin alfa 100 mcg/ml vial
DARBEPOETIN ALFA 200 MCG/0.4 ML SYRG,3197.5,darbepoetin alfa 200 mcg/0.4 ml syrg
DARBEPOETIN ALFA 300 MCG/0.6 ML SYRG,3986.25,darbepoetin alfa 300 mcg/0.6 ml syrg
DARBEPOETIN ALFA 40 MCG/ML VIAL,1560.5,darbepoetin alfa 40 mcg/ml vial
DARBEPOETIN ALFA 500 MCG/ML SYRG,5563.75,darbepoetin alfa 500 mcg/ml syrg
DARBEPOETIN ALFA 60 MCG/ML VIAL,1945.5,darbepoetin alfa 60 mcg/ml vial
DARIFENACIN 15 MG TB24,45.25,darifenacin 15 mg tb24
DARIFENACIN 7.5 MG TB24,18.5,darifenacin 7.5 mg tb24
DASATINIB 100 MG TAB,1052.75,dasatinib 100 mg tab
DBM PUTTY,1271.6,dbm putty
"DBM PUTTY, ALLOSYNC, 2.5C",3505.75,"dbm putty, allosync, 2.5c"
"DBM PUTTY, ALLOSYNC, 5CC",1888.0,"dbm putty, allosync, 5cc"
"DBM PUTTY, INTERGRO 5CC",2265.6,"dbm putty, intergro 5cc"
"DBX PUTTY, 10 CC",2730.0,"dbx putty, 10 cc"
"DBX PUTTY, 2.5 CC",1265.55,"dbx putty, 2.5 cc"
"DBX PUTTY, 5 CC",2343.48,"dbx putty, 5 cc"
DEBR SKIN BONE AT FRACTUR,382.75,debr skin bone at fractur
DEBRIDE NON-SELECTIVE (CH,240.25,debride non-selective (ch
DEBRIDEMENT NON-SELECT (C,168.25,debridement non-select (c
DEBRIDEMENT OF BURN,200.5,debridement of burn
DEBRIDEMENT OF EXT ECZEMA,140.5,debridement of ext eczema
DEBRIDEMENT OF NAIL(S) 1-,74.75,debridement of nail(s) 1-
DEBRIDEMENT SEL (MECH) UP,351.0,debridement sel (mech) up
DEBRIDEMENT SELECTIVE(MEC,322.75,debridement selective(mec
DEBRIDEMENT SHARP SELECTI,197.75,debridement sharp selecti
DEBRIDEMENT UP TO 10% BOD,137.75,debridement up to 10% bod
DEBRIDMENT MASTOIDECTOMY,407.5,debridment mastoidectomy
DEBRIDMENT/SKIN/SUBCU/MUS,275.0,debridment/skin/subcu/mus
DEBRIDT/SKIN/SUBCU/MUSCLE,182.75,debridt/skin/subcu/muscle
DECADRON 4MG,8.5,decadron 4mg
DECADRON 4MG (per 1mg),8.5,decadron 4mg (per 1mg)
DECITABINE 50 MG SOLR,424.0,decitabine 50 mg solr
"DECOMPRESSION LOWER LEG,",1024.625,"decompression lower leg,"
DEFERASIROX 500 MG TBDP,649.75,deferasirox 500 mg tbdp
DEFEROXAMINE MESYLATE 500 MG SOLR,109.25,deferoxamine mesylate 500 mg solr
DEFLAZACORT 18 MG TAB,68.25,deflazacort 18 mg tab
DEFLAZACORT 6 MG TAB,13.0,deflazacort 6 mg tab
DEGARELIX 240MG SOLR,2614.25,degarelix 240mg solr
DEGARELIX 80 MG SOLR,1569.0,degarelix 80 mg solr
DEHYDROEPIANDROSTERONE 25 MG CAP,2.0,dehydroepiandrosterone 25 mg cap
DELIVERY/RECOVERY,2173.0,delivery/recovery
DEMEROL 100 MG IM MEPERID,33.0,demerol 100 mg im meperid
DENOSUMAB 120 MG/1.7 ML (70 MG/ML) VIAL,4791.75,denosumab 120 mg/1.7 ml (70 mg/ml) vial
DENOSUMAB 60 MG/ML SYRG,3344.5,denosumab 60 mg/ml syrg
"DEODORANT ROOM SPRAY, CAN",38.75,"deodorant room spray, can"
DEPALMA STAPLE 19X10MM,729.98,depalma staple 19x10mm
DEPO MEDROL 40 MG,33.0,depo medrol 40 mg
DEPO MEDROL 80 MG,33.0,depo medrol 80 mg
DEPO MEDROL/LIDOCAINE ORT,36.5,depo medrol/lidocaine ort
DEPO PROVERA 150MG,1.0,depo provera 150mg
DEPO PROVERA PER MG,1.0,depo provera per mg
DEPO TESTOSERONE PER 1 MG,0.25,depo testoserone per 1 mg
DEPO TESTOSERONE PER 1MG,0.25,depo testoserone per 1mg
DEPUY HIP CUP,3630.0,depuy hip cup
DEPUY HIP CUP ACETABULAR,6674.82,depuy hip cup acetabular
DEPUY HIP CUP DURALOC,8557.17,depuy hip cup duraloc
DEPUY HIP CUP GRIPTION,5120.0,depuy hip cup gription
DEPUY HIP HEAD <=36MM,2450.0,depuy hip head <=36mm
DEPUY HIP HEAD >36MM,4125.0,depuy hip head >36mm
DEPUY HIP HEAD NON METAL,4455.0,depuy hip head non metal
DEPUY HIP LINER CROSSLINK,4125.0,depuy hip liner crosslink
DEPUY HIP LINER POLY,2975.0,depuy hip liner poly
DEPUY HIP PARTIAL BIPOLAR,1925.0,depuy hip partial bipolar
DEPUY HIP PARTIAL ENDOPRO,3540.0,depuy hip partial endopro
DEPUY HIP PARTIAL UNIPOLA,2712.5,depuy hip partial unipola
DEPUY HIP STEM CEMENTED,5600.0,depuy hip stem cemented
DEPUY HIP STEM CEMENTLESS,8400.0,depuy hip stem cementless
DEPUY HIP STEM FRACTURE,4125.0,depuy hip stem fracture
DEPUY HIP STEM MODULAR,6600.0,depuy hip stem modular
DEPUY HIP STEM MODULAR SL,2100.0,depuy hip stem modular sl
DEPUY KNEE FEMUR COATED,6600.0,depuy knee femur coated
DEPUY KNEE FEMUR PFJ,5440.0,depuy knee femur pfj
DEPUY KNEE FEMUR UNCOATED,5120.0,depuy knee femur uncoated
DEPUY KNEE INSERT INC XLK,3300.0,depuy knee insert inc xlk
DEPUY KNEE INSERT RP OR R,4960.0,depuy knee insert rp or r
DEPUY KNEE PATELLA,2100.0,depuy knee patella
DEPUY KNEE TIBIA COATED,6000.0,depuy knee tibia coated
DEPUY KNEE TIBIA COATED R,7200.0,depuy knee tibia coated r
DEPUY KNEE TIBIA POLY,4125.0,depuy knee tibia poly
DEPUY KNEE TIBIA UNCOATED,6255.0,depuy knee tibia uncoated
DEPUY UNI KNEE FEMUR,5120.0,depuy uni knee femur
DEPUY UNI KNEE INSERT,3300.0,depuy uni knee insert
DEPUY UNI KNEE TIBIA,4785.0,depuy uni knee tibia
DERMA CARRIER II,151.0,derma carrier ii
DERMATOME BLADE,103.04,dermatome blade
DERMATONE CUTTING HEAD,98.0,dermatone cutting head
"DERMOPLAST, 3 OZ.",19.55,"dermoplast, 3 oz."
DESIGN MLC DEVICE FOR IMR,2810.5,design mlc device for imr
DESIPRAMINE 25 MG TAB,14.75,desipramine 25 mg tab
DESIPRAMINE 50 MG TAB,19.75,desipramine 50 mg tab
DESMOPRESSIN 0.1 MG TAB,18.5,desmopressin 0.1 mg tab
DESMOPRESSIN 0.2 MG TAB,8.0,desmopressin 0.2 mg tab
DESMOPRESSIN 10 MCG/SPRAY (0.1 ML) SPRY,83.5,desmopressin 10 mcg/spray (0.1 ml) spry
DESMOPRESSIN ACETATE 4 MCG/ML VIAL,808.5,desmopressin acetate 4 mcg/ml vial
DESOGESTREL-ETHINYL ESTRADIOL 0.15-0.03 MG TAB,4.75,desogestrel-ethinyl estradiol 0.15-0.03 mg tab
DESONIDE 0.05 % CREA,77.0,desonide 0.05 % crea
DESOXIMETASONE 0.25 % CREA,36.0,desoximetasone 0.25 % crea
DESOXIMETASONE 0.25 % OINT,12.5,desoximetasone 0.25 % oint
DESTRUCT ANY METHOD WART,273.5,destruct any method wart
DESTRUCTION 2ND -14 LESIO,12.75,destruction 2nd -14 lesio
DESTRUCTION ANY METHOD BE,141.0,destruction any method be
DESTRUCTION OF LID MARGIN,460.0,destruction of lid margin
DESVENLAFAXINE 50 MG TB24,13.25,desvenlafaxine 50 mg tb24
"DETECTOR, PEDIATRIC CO2",28.970000000000002,"detector, pediatric co2"
DEVELOPMENT COG SKILLS,254.0,development cog skills
DEVELOPMENT COG SKILLS -C,254.0,development cog skills -c
DEVELOPMENT COG SKILLS TR,254.0,development cog skills tr
DEX 10%/W 1000CC,7.29,dex 10%/w 1000cc
DEX 2 1/2% IN 1/2 LAC RIN,66.5,dex 2 1/2% in 1/2 lac rin
DEX 5% 0.2% SALINE,65.0,dex 5% 0.2% saline
DEX 5%/W 500CC,5.71,dex 5%/w 500cc
DEXAMETHASONE (PF) 10 MG/ML VIAL,38.0,dexamethasone (pf) 10 mg/ml vial
DEXAMETHASONE (PF) 9 % SUSP,1454.5,dexamethasone (pf) 9 % susp
DEXAMETHASONE 0.5 MG TAB,2.0,dexamethasone 0.5 mg tab
DEXAMETHASONE 1 MG TAB,3.25,dexamethasone 1 mg tab
DEXAMETHASONE 1 MG/10 ML ELIX,4.0,dexamethasone 1 mg/10 ml elix
DEXAMETHASONE 2 MG TAB,7.75,dexamethasone 2 mg tab
DEXAMETHASONE 4 MG TAB,9.5,dexamethasone 4 mg tab
DEXAMETHASONE 4 MG/ML VIAL,54.833333333333336,dexamethasone 4 mg/ml vial
DEXAMETHASONE-MOXIFLOXACIN (PF) 1 MG-5 MG/1 ML SOLN,205.0,dexamethasone-moxifloxacin (pf) 1 mg-5 mg/1 ml soln
DEXLANSOPRAZOLE 60 MG CPDB,72.0,dexlansoprazole 60 mg cpdb
DEXMEDETOMIDINE 200 MCG/2 ML VIAL,38.0,dexmedetomidine 200 mcg/2 ml vial
DEXMETHYLPHENIDATE 10 MG BP50,90.5,dexmethylphenidate 10 mg bp50
DEXTROMETHORPHAN POLY COMPLEX 30 MG/5 ML SU12,8.5,dextromethorphan poly complex 30 mg/5 ml su12
DEXTROSE 25 % (PEDIATRIC) 2.5 G/10 ML SYRG,38.0,dextrose 25 % (pediatric) 2.5 g/10 ml syrg
DEXTROSE 5%  0.2% NACL 50,6.11,dextrose 5% 0.2% nacl 50
DEXTROSE 5% IN NORMAL SAL,5.75,dextrose 5% in normal sal
DEXTROSE 5% IN WATER (D5W,20.34,dextrose 5% in water (d5w
DEXTROSE 5%-1/2 NORMAL SA,5.745,dextrose 5%-1/2 normal sa
DEXTROSE 5%-LACTATED RING,6.41,dextrose 5%-lactated ring
DEXTROSE 50% (ADULT) 25 G/50 ML SYRG,114.0,dextrose 50% (adult) 25 g/50 ml syrg
DIABETIC SESS MN -CURTIS,119.5,diabetic sess mn -curtis
DIABETIC SESS MN TRENTON-,119.5,diabetic sess mn trenton-
DIABETIC SESS-CURTIS -IND,119.5,diabetic sess-curtis -ind
DIABETIC SESS-CURTIS-GROU,106.25,diabetic sess-curtis-grou
DIABETIC SESS-GROUP/ 1/2,106.25,diabetic sess-group/ 1/2
DIABETIC SESS-INDIV/ 1/2,119.5,diabetic sess-indiv/ 1/2
DIABETIC SESS-TRENTON-GRO,106.25,diabetic sess-trenton-gro
DIABETIC SESS-TRENTON-IND,119.5,diabetic sess-trenton-ind
DIAGNOSTIC ARTHROSCOPY,480.5,diagnostic arthroscopy
"DIAPERS, ADULT/10",23.0,"diapers, adult/10"
DIATRIZOATE MEG-DIATRIZOAT SOD 66-10 % SOLN,59.5,diatrizoate meg-diatrizoat sod 66-10 % soln
DIATRIZOATE MEGLUM.-SODIU,119.25,diatrizoate meglum.-sodiu
DIATRIZOATE MEGLUMINE / SODIUM 66-10 % SOLN,66.75,diatrizoate meglumine / sodium 66-10 % soln
DIAZEPAM (MDV) 5 MG/ML VIAL,89.0625,diazepam (mdv) 5 mg/ml vial
DIAZEPAM 2 MG TAB,2.0,diazepam 2 mg tab
DIAZEPAM 5 MG TAB,2.0,diazepam 5 mg tab
DIAZEPAM 5 MG/ML SYRG,191.75,diazepam 5 mg/ml syrg
DIBUCAINE 1 % OINT,15.25,dibucaine 1 % oint
DICLOFENAC 0.1 % DROP,50.25,diclofenac 0.1 % drop
DICLOFENAC 1 % GEL,63.0,diclofenac 1 % gel
DICLOFENAC 50 MG TBEC,2.0,diclofenac 50 mg tbec
DICLOFENAC 75 MG TBEC,3.75,diclofenac 75 mg tbec
DICLOFENAC EPOLAMINE 1.3 % PT12,55.25,diclofenac epolamine 1.3 % pt12
DICLOXACILLIN 250 MG CAP,6.75,dicloxacillin 250 mg cap
DICYCLOMINE 10 MG CAP,4.25,dicyclomine 10 mg cap
DIFFUSING CAPACITY,555.25,diffusing capacity
DIFLUPREDNATE 0.05 % DROP,107.91666666666667,difluprednate 0.05 % drop
DIGESTIVE ENZYMES  TAB,2.0,digestive enzymes tab
DIGOXIN 125 MCG TAB,10.0,digoxin 125 mcg tab
DIGOXIN 250 MCG/ML SOLN,44.125,digoxin 250 mcg/ml soln
DIGOXIN IMMUNE FAB 40 MG SOLR,5415.25,digoxin immune fab 40 mg solr
"DIGOXIN, TOTAL",161.75,"digoxin, total"
DIHYDROERGOTAMINE MESYLATE 1 MG/ML AMP,555.5,dihydroergotamine mesylate 1 mg/ml amp
"DILANTIN, QUANT.",171.75,"dilantin, quant."
DILATOR CERVICAL ANY SIZE,42.75,dilator cervical any size
DILTIAZEM 30 MG TAB,2.0,diltiazem 30 mg tab
DILTIAZEM 5 MG/ML VIAL,55.75,diltiazem 5 mg/ml vial
DILTIAZEM CD 120 MG CP24,4.5,diltiazem cd 120 mg cp24
DILTIAZEM CD 180 MG CP24,4.5,diltiazem cd 180 mg cp24
DILTIAZEM CD 240 MG CP24,6.25,diltiazem cd 240 mg cp24
DILTIAZEM CD 300 MG CP24,14.5,diltiazem cd 300 mg cp24
DIMENHYDRINATE 50 MG TAB,5.25,dimenhydrinate 50 mg tab
DIMETHICONE 1.3% LOTN,15.5,dimethicone 1.3% lotn
DIMETHICONE/MENTHOL XTRA STRENGTH 5%/0.5% LOTN,18.5,dimethicone/menthol xtra strength 5%/0.5% lotn
DIMETHYL FUMARATE 240 MG CPDR,479.0,dimethyl fumarate 240 mg cpdr
DIMETHYL SULFOXIDE 50 % SOLN,1491.75,dimethyl sulfoxide 50 % soln
DINOPROSTONE 10 MG INER,1032.5,dinoprostone 10 mg iner
DIPHEN LIDO ALUM OH MAGNES OH SIMETHICONE 1:1:1 KIT,235.25,diphen lido alum oh magnes oh simethicone 1:1:1 kit
DIPHENHYDRAMINE HCL 2 % GEL,22.75,diphenhydramine hcl 2 % gel
DIPHENHYDRAMINE HCL INJ,35.7,diphenhydramine hcl inj
DIPHENOXYLATE/ATROPINE 2.5-0.025 MG TAB,2.25,diphenoxylate/atropine 2.5-0.025 mg tab
DIPHTHERIA-PERTUSSIS-TETANUS (PED.) 15-10-5 LF-MCG-LF/0.5ML VIAL,151.25,diphtheria-pertussis-tetanus (ped.) 15-10-5 lf-mcg-lf/0.5ml vial
DIPHTHERIA-PERTUSSIS-TETANUS (PED.) 25-58-10 LF-MCG-LF/0.5ML SYRG,69.0,diphtheria-pertussis-tetanus (ped.) 25-58-10 lf-mcg-lf/0.5ml syrg
DIPHTHERIA-TETANUS TOXOIDS (PED.) 6.7-5 LF UNIT VIAL,133.75,diphtheria-tetanus toxoids (ped.) 6.7-5 lf unit vial
DIPYRIDAMOLE 25 MG TAB,3.25,dipyridamole 25 mg tab
DIPYRIDAMOLE 75 MG TAB,11.5,dipyridamole 75 mg tab
DIPYRIDAMOLE-ASPIRIN 200-25 MG CM12,10.25,dipyridamole-aspirin 200-25 mg cm12
DISECTOR BLUNT CHERRY,221.0,disector blunt cherry
DISLOCATION ELBOW W/MANIP,1658.5,dislocation elbow w/manip
DISLOCATION FINGER IP JOI,998.0,dislocation finger ip joi
DISLOCATION HIP W/ANESTH,2011.75,dislocation hip w/anesth
DISLOCATION PATELLA,859.0,dislocation patella
DISLOCATION SHOULDER W/MA,1522.5,dislocation shoulder w/ma
DISP KIT FOR DX SWIVELOCK,797.5,disp kit for dx swivelock
"DISP KIT, NANO SWIVELOCK,",855.5,"disp kit, nano swivelock,"
"DISPOSABLES KIT, FOR DX F",797.5,"disposables kit, for dx f"
"DISTRACTOR STRAP, ANKLE A",108.05,"distractor strap, ankle a"
DIVALPROEX 125 MG CDRS,13.0,divalproex 125 mg cdrs
DIVALPROEX 250 MG TBEC,2.0,divalproex 250 mg tbec
DIVALPROEX ER 250 MG TB24,9.5,divalproex er 250 mg tb24
DOBUTamine 250 MG/20 ML (12.5 MG/ML) SOLN,48.25,dobutamine 250 mg/20 ml (12.5 mg/ml) soln
DOBUTamine in D5W 250 MG/250 ML (1 MG/ML) SOLP,55.25,dobutamine in d5w 250 mg/250 ml (1 mg/ml) solp
DOCEtaxel 160 MG/16 ML (10 MG/ML) VIAL,1400.0,docetaxel 160 mg/16 ml (10 mg/ml) vial
DOCEtaxel 80 MG/4 ML (20 MG/ML) VIAL,442.0,docetaxel 80 mg/4 ml (20 mg/ml) vial
DOCEtaxel 80 MG/8 ML (FINAL) VIAL,1138.0,docetaxel 80 mg/8 ml (final) vial
DOCOSANOL 10 % CREA,69.5,docosanol 10 % crea
DOCUSATE CALCIUM 240 MG CAP,2.0,docusate calcium 240 mg cap
DOCUSATE SODIUM 100 MG CAP,2.0,docusate sodium 100 mg cap
DOCUSATE SODIUM 100 MG/10 ML LIQD,2.75,docusate sodium 100 mg/10 ml liqd
DOCUSATE SODIUM-BENZOCAINE 283-20 MG/5 ML ENEM,20.5,docusate sodium-benzocaine 283-20 mg/5 ml enem
DOFETILIDE 125 MCG CAP,15.5,dofetilide 125 mcg cap
DOFETILIDE 250 MCG CAP,16.75,dofetilide 250 mcg cap
DOFETILIDE 500 MCG CAP,56.25,dofetilide 500 mcg cap
DONEPEZIL 5 MG TAB,2.0,donepezil 5 mg tab
"DOPPLER PW OR CW, LIMITED",306.5,"doppler pw or cw, limited"
DOPamine 200 MG/5 ML (40 MG/ML) VIAL,38.0,dopamine 200 mg/5 ml (40 mg/ml) vial
DOPamine in D5W 400 MG/250 ML (1600 MCG/ML) SOLN,77.75,dopamine in d5w 400 mg/250 ml (1600 mcg/ml) soln
DORZOLAMIDE 2 % DROP,46.5,dorzolamide 2 % drop
DORZOLAMIDE-TIMOLOL MALEATE 2-0.5 % DROP,42.25,dorzolamide-timolol maleate 2-0.5 % drop
"DOUCHE SET, DISP.",66.0,"douche set, disp."
DOXAPRAM 20 MG/ML SOLN,260.0,doxapram 20 mg/ml soln
DOXAZOSIN 1 MG TAB,2.0,doxazosin 1 mg tab
DOXEPIN 10 MG CAP,3.25,doxepin 10 mg cap
DOXEPIN 100 MG CAP,10.75,doxepin 100 mg cap
DOXEPIN 25 MG CAP,4.0,doxepin 25 mg cap
DOXEPIN 75 MG CAP,9.5,doxepin 75 mg cap
DOXIDAN CAP,3.5,doxidan cap
DOXORUBICIN PEG-LIPOSOMAL 20MG/10ML SUSP,2228.25,doxorubicin peg-liposomal 20mg/10ml susp
DOXORUBICIN PEG-LIPOSOMAL 50MG/25ML SUSP,2874.5,doxorubicin peg-liposomal 50mg/25ml susp
DOXOrubicin 2 MG/ML SOLN,402.5,doxorubicin 2 mg/ml soln
DOXYCYCLINE 100 MG CAP,7.75,doxycycline 100 mg cap
DOXYCYCLINE 100 MG TAB,4.0,doxycycline 100 mg tab
DOXYCYCLINE IV 100 MG SOLR,112.75,doxycycline iv 100 mg solr
DOXYLAMINE SUCCINATE 25 MG TAB,3.5,doxylamine succinate 25 mg tab
DRAIN EXT EAR HEMATOMA,395.25,drain ext ear hematoma
"DRAIN, JP T-TUBE, 19FR",478.16999999999996,"drain, jp t-tube, 19fr"
DRAINAGE OF FINGER ABCESS,672.1071428571429,drainage of finger abcess
DRAMAMINE/DIPHENYDRINATE,36.5,dramamine/diphenydrinate
DRAPE BILATERAL EXTREMITY,24.96,drape bilateral extremity
DRAPE HAND,20.06,drape hand
DRAPE HYSTERSCOPY,42.1,drape hysterscopy
DRAPE THYROID,16.64,drape thyroid
"DRAPE, C ARM",119.38000000000001,"drape, c arm"
DRESS TRAY INSTRUMENT,19.95,dress tray instrument
DRESSING AQUACEL HYDROFIB,51.333333333333336,dressing aquacel hydrofib
DRESSING GRANUFOAM,229.44999999999996,dressing granufoam
DRESSING GRANUFOAM SILVER,259.5,dressing granufoam silver
DRESSING HYDROCELLULAR FO,19.51,dressing hydrocellular fo
DRESSING POLYMEM,30.809999999999995,dressing polymem
DRESSING SILICONE FOAM,5.49,dressing silicone foam
DRESSING TEGADERM,4.17,dressing tegaderm
DRESSING TEGASORB,4.9,dressing tegasorb
DRESSING WOUND CARE TIELL,33.75,dressing wound care tiell
"DRESSING, ALLEVYN, HEEL",26.8,"dressing, allevyn, heel"
"DRESSING, DERMATEC, SENSI",63.47999999999999,"dressing, dermatec, sensi"
"DRESSING, HONEY 2X2",13.62,"dressing, honey 2x2"
"DRESSING, MEPILEX, 4 IN X",132.67,"dressing, mepilex, 4 in x"
"DRESSING, PREVENA PEEL/PL",743.4,"dressing, prevena peel/pl"
"DRESSING, PRISMA, 19.1 SQ",83.58,"dressing, prisma, 19.1 sq"
"DRESSING, PURACOL (SILVER",25.76,"dressing, puracol (silver"
"DRESSING, SILVER",133.66,"dressing, silver"
"DRESSING, SORBAVIEW, 3.75",11.96,"dressing, sorbaview, 3.75"
"DRESSING, SORBAVIEW, 4.75",13.8,"dressing, sorbaview, 4.75"
"DRESSING, WHITE FOAM DRAP",113.385,"dressing, white foam drap"
"DRESSING/DRAPE, RETRACT,",175.31,"dressing/drape, retract,"
"DRESSING/DRAPE, RETRACTOR",219.19,"dressing/drape, retractor"
DRILL KIT FOR PUSH LOCK,551.25,drill kit for push lock
DRILL PIN TRIM IT 1.5 X 1,513.0,drill pin trim it 1.5 x 1
DRONABINOL 2.5 MG CAP,17.25,dronabinol 2.5 mg cap
DRONABINOL 5 MG CAP,66.0,dronabinol 5 mg cap
DRONEDARONE 400 MG TAB,81.75,dronedarone 400 mg tab
DROPERIDOL 2.5 MG/ML VIAL,69.75,droperidol 2.5 mg/ml vial
DRUG SCREEN,257.5,drug screen
DRY MOUTH  LOZG,2.75,dry mouth lozg
DRY NEEDLING 1-2 MUSCLES,45.0,dry needling 1-2 muscles
DRY NEEDLING 3+ MUSCLES,60.0,dry needling 3+ muscles
DRY NEEDLING ONLY SELF PA,50.0,dry needling only self pa
"DRY NEEDLING ONLY, EVALUA",100.0,"dry needling only, evalua"
DRY NEEDLING SELF PAY W/O,20.0,dry needling self pay w/o
DUEDERM DRESSING 4X5,10.01,duederm dressing 4x5
DULAGLUTIDE 0.75 MG/0.5 ML PNIJ,918.5,dulaglutide 0.75 mg/0.5 ml pnij
DULAGLUTIDE 1.5 MG/0.5 ML PNIJ,918.5,dulaglutide 1.5 mg/0.5 ml pnij
DULAGLUTIDE 4.5 MG/0.5 ML PNIJ,918.5,dulaglutide 4.5 mg/0.5 ml pnij
DULoxetine 20 MG CPDR,2.0,duloxetine 20 mg cpdr
DULoxetine 30 MG CPDR,9.25,duloxetine 30 mg cpdr
DUO DERM COMPRESSION BAND,98.25,duo derm compression band
DUO DERM DRESSING 4X4,4.53,duo derm dressing 4x4
DUODERM DRESSING 4X4 XTHI,27.0,duoderm dressing 4x4 xthi
DUOVISC,410.5,duovisc
DUPLEX SCAN OF HEMODIALYS,852.0,duplex scan of hemodialys
DUPLEX SCAN ORGAN FLOW CO,1296.25,duplex scan organ flow co
DUPLEX SCAN ORGAN FLOW LI,912.25,duplex scan organ flow li
DURA PRED (SKIN PREP),13.44,dura pred (skin prep)
DURVALUMAB 50 MG/ML SOLN,3762.75,durvalumab 50 mg/ml soln
DUTASTERIDE 0.5 MG CAP,3.5,dutasteride 0.5 mg cap
DVT COMPRESSION SLEEVE,66.99499999999999,dvt compression sleeve
"DX SWIVELOCK SL, 3.5X8.5M",1232.5,"dx swivelock sl, 3.5x8.5m"
