description,avg_gross_charge,description_clean
CLINIC - LEVEL 4 (WOUND CLINIC),120.0,clinic - level 4 (wound clinic)
CLINIC - LEVEL 5,350.0,clinic - level 5
CLINIC LEVEL 2 - MEDICARE,0.01,clinic level 2 - medicare
CLINIC-LEVEL 1 (OBGYN SPECIALTY CLINIC),70.0,clinic-level 1 (obgyn specialty clinic)
CLINIC-LEVEL 3 (OBGYN SPECIALTY CLINIC),100.0,clinic-level 3 (obgyn specialty clinic)
CLINIC-LEVEL 4 (OBGYN SPECIALTY CLINIC),120.0,clinic-level 4 (obgyn specialty clinic)
CLINIC-LEVEL2 (OBGYN SPECIALTY CLINIC),80.0,clinic-level2 (obgyn specialty clinic)
CLINIMIX E 5-20 BAG [2000 mL],155.0,clinimix e 5-20 bag [2000 ml]
CLIPS RESOLUTION BX/10,450.0,clips resolution bx/10
CLNIIC - LEVEL 2 (UROLOGY SPEC CL),80.0,clniic - level 2 (urology spec cl)
CLONIDINE 0.1MG TAB,2.5,clonidine 0.1mg tab
CLOSED RADIAL/ULNAR SHFT FX W/MANIP,1060.0,closed radial/ulnar shft fx w/manip
CLOSED TREAT ANKLE FX W/ MANIPULATION,1000.0,closed treat ankle fx w/ manipulation
CLOSED TREAT RADIAL HEAD/NECK FRX W/MANI,515.0,closed treat radial head/neck frx w/mani
CLOSED TREAT. DISTAL FIB. FRAC/W MAN,1416.0,closed treat. distal fib. frac/w man
CLOSED TREATMENT PHALANGEAL SHAFT FX,400.0,closed treatment phalangeal shaft fx
CLOSED TREATMET RADIAL HEAD SUBLUXAT,340.0,closed treatmet radial head subluxat
CLOSED TRTMT PATELLAR DISLOCATION W/ANES,535.0,closed trtmt patellar dislocation w/anes
CLOSED TX DISTAL FIBULA FX W/ MANI,615.0,closed tx distal fibula fx w/ mani
CLOSED TX NASAL FRAC W/O STABILIZATION,500.0,closed tx nasal frac w/o stabilization
"CLOSED TX PHALANGE SHAFT FX, PROX/MIDDLE",365.0,"closed tx phalange shaft fx, prox/middle"
CLOSED TX PROXIMAL HUMERAL FX W/MAN,500.0,closed tx proximal humeral fx w/man
CLOSED TX PROXIMAL HUMERUS FX W/MAN,925.0,closed tx proximal humerus fx w/man
CLOSED TX RADIAL HEAD SUBLUXATION,360.0,closed tx radial head subluxation
CLOSED TX RADIAL SHAFT FX W/MANIPULATION,1000.0,closed tx radial shaft fx w/manipulation
CLOSED TX TRIMALLEOLAR ANKLE FX,1000.0,closed tx trimalleolar ankle fx
CLOSED TX TRIMALLEOLAR ANKLE FX W/MANI,922.5,closed tx trimalleolar ankle fx w/mani
CLOSTRIDIUM DIFF TOXIN,175.0,clostridium diff toxin
CLOTEST FOR H. PYLORI,265.0,clotest for h. pylori
CLOTRIMAZOLE CREAM [1%],9.0,clotrimazole cream [1%]
CLOTTING FACTOR V,263.0,clotting factor v
CLOTTING FACTOR VIII LEVEL,330.0,clotting factor viii level
CLOTTING PROTIEN C/ANTIGEN,323.0,clotting protien c/antigen
CLOTTING PROTIEN S,213.0,clotting protien s
CLOTTING-ANTITHROMBIN III,175.0,clotting-antithrombin iii
CLSD TX PATELLAR DSLOCATION W/O ANES,700.0,clsd tx patellar dslocation w/o anes
CLSD TX POST HIP ARTHROPLASTY DIS W/ANES,1100.0,clsd tx post hip arthroplasty dis w/anes
CLST TX POST HIP ARTHORPLASTY DISL W/ANE,1000.0,clst tx post hip arthorplasty disl w/ane
CMV QUANT,459.0,cmv quant
CO/MEMBANE DIFFUSE CAPACITY (DLCO),525.0,co/membane diffuse capacity (dlco)
CO2 DETECTOR,43.0,co2 detector
CO2 FILTER LINE SET,50.0,co2 filter line set
COCCIDIODIES IGG&IGM ANTIBODIES,90.0,coccidiodies igg&igm antibodies
COLACE (DOCUSATE SODUIM) 100MG CAPSULE,2.5,colace (docusate soduim) 100mg capsule
COLCHICINE TAB [0.6 MG],2.5,colchicine tab [0.6 mg]
COLLAGEN CROSS-LINK,291.0,collagen cross-link
COLLAR BUTTON VENT TUBE ENTPFLUG,39.0,collar button vent tube entpflug
COLLAR BUTTON VENT TUBE ENTROB,36.0,collar button vent tube entrob
COLLECT BLOOD SPCMN FROM CATHETER/PICC,185.0,collect blood spcmn from catheter/picc
COLLECT BLOOD SPCMN FROM VAD,175.0,collect blood spcmn from vad
COLONOSCOPY W/ABLATION OF LESION,1843.5,colonoscopy w/ablation of lesion
COLONOSCOPY W/BIOPSY,1965.0,colonoscopy w/biopsy
COLONOSCOPY W/SUBMUCOSAL INJ ANY SUBSTNC,2630.0,colonoscopy w/submucosal inj any substnc
COLONOSCOPY W/TUMOR REMOVAL HOTBXFORCEPS,1985.0,colonoscopy w/tumor removal hotbxforceps
"COLONOSCOPY W/TUMOR REMOVAL, SNARE",2025.0,"colonoscopy w/tumor removal, snare"
COLORECTAL CANCER SCREEN/ COLONOSCOP,1700.0,colorectal cancer screen/ colonoscop
COLORECTAL CANCER SCREENING BLOOD TEST,61.0,colorectal cancer screening blood test
COLORECTAL CANCER SCREENING HIGH RISK,1608.5,colorectal cancer screening high risk
COLPOSCOPY WITH BIOPSY OF CERVIX,405.0,colposcopy with biopsy of cervix
COMBINED ANTEROPOSTEIOR COLPORRHAPHY,4500.0,combined anteroposteior colporrhaphy
COMBINED ANTERPOST COLPORRHAPHY W/ CYSTO,4500.0,combined anterpost colporrhaphy w/ cysto
COMP MINI BASEPLATE AND TAPER ADAPTOR,3752.0,comp mini baseplate and taper adaptor
COMPATABILITY TEST/ANTIGLOBULIN TECH,201.0,compatability test/antiglobulin tech
COMPATIBILITY BLOOD EACH,170.0,compatibility blood each
COMPLEMENT ANTIGEN,120.0,complement antigen
COMPLEMENT FUNCTNAL ACTIVITY,137.0,complement functnal activity
COMPLEMENT TOTAL,194.0,complement total
COMPREHENSIVE METABOLIC PANEL,190.0,comprehensive metabolic panel
COMPRESSION FT PIN 1.9 MM SNAP OFF,1168.0,compression ft pin 1.9 mm snap off
CONFIRATORY LIME DISEAS,205.0,confiratory lime diseas
"CONFORM ADHESIVE SEALS 2"" SKIN BARRIER",19.0,"conform adhesive seals 2"" skin barrier"
CONSULT REPORT MATL REQ PREP SLIDES,87.0,consult report matl req prep slides
CONTINUOUS GLUCOSE MON; PATIENT PROVIDED,140.0,continuous glucose mon; patient provided
CONTINUOUS NEBULIZER TREATMENT 1ST HR,245.0,continuous nebulizer treatment 1st hr
CONTROL NASAL HEMORAHGE ANTERIOR,310.0,control nasal hemorahge anterior
CONTROL NASAL HEMORRHAGE ANTERIOR,300.0,control nasal hemorrhage anterior
COOK SP TUBE INTRODUCER SET,334.0,cook sp tube introducer set
COOMBS TEST DIRECT,100.0,coombs test direct
COPPER,168.0,copper
CORE BIOPSY INSTR,150.0,core biopsy instr
COREG 6.25 MG TAB,2.5,coreg 6.25 mg tab
"CORRECTION, HALLUX VALGUS, BUNION W/SESA",4230.0,"correction, hallux valgus, bunion w/sesa"
CORTICOTROPIN RELEASING HORMONE,208.0,corticotropin releasing hormone
CORTISOL TOTAL,165.0,cortisol total
CORTISOL URINARY FREE,250.0,cortisol urinary free
COSYNTROPIN  VIAL [0.25 MG],105.0,cosyntropin vial [0.25 mg]
COUMADIN 1MG TAB,2.5,coumadin 1mg tab
COUMADIN 5MG TAB,2.5,coumadin 5mg tab
COVID SPECIMEN COLLECTION,50.0,covid specimen collection
COVID-19 - GENBODY,105.0,covid-19 - genbody
COVID-19 IgG,80.0,covid-19 igg
COZAAR 50MG TAB,2.5,cozaar 50mg tab
CPK ISOENZYMES,140.0,cpk isoenzymes
CPK MB FRACTION ONLY,174.0,cpk mb fraction only
CPK TOTAL,100.0,cpk total
CR LT MS INS SZ 6 12,2676.0,cr lt ms ins sz 6 12
CREATININE BLOOD,65.0,creatinine blood
CREATININE CLEARANCE,120.0,creatinine clearance
CREATININE OTHER,85.0,creatinine other
CRICOTHYROTOMY KIT,385.0,cricothyrotomy kit
CRITICAL CARE EVAL/MANAG EA ADD'L 30 MIN,692.5,critical care eval/manag ea add'l 30 min
CRITICAL CARE EVAL/MANAGE 1ST 30-74 MIN,1150.0,critical care eval/manage 1st 30-74 min
CRNA TIME,120.0,crna time
CRP(C-REACTIVE PROTEIN)HIGH SENSITIV,110.0,crp(c-reactive protein)high sensitiv
CRYOGLOBULIN IN QUANT,221.0,cryoglobulin in quant
CRYPTOCOCCUS ANTIGEN,90.0,cryptococcus antigen
"CRYPTOSPRIDIUM AG, EIA",125.0,"cryptospridium ag, eia"
"CRYSTAL IDENT.,SYNOVIAL FLUID",84.0,"crystal ident.,synovial fluid"
CT ABDOMEN & PELVIS W & W/O CONTRAST,5565.0,ct abdomen & pelvis w & w/o contrast
CT ABDOMEN & PELVIS W CONTRAST,4665.0,ct abdomen & pelvis w contrast
CT ABDOMEN & PELVIS W/O CONTRAST,4020.0,ct abdomen & pelvis w/o contrast
CT ANGIOGRAM PELVIS W/CONTRAST,2400.0,ct angiogram pelvis w/contrast
CT ANGIOGRAPHY ABD & PELVIS  W CONTRAST,5965.0,ct angiography abd & pelvis w contrast
CT ANGIOGRAPHY CHEST W/CONTRACT/NONCONTR,3505.0,ct angiography chest w/contract/noncontr
CT ANGIOGRAPHY HEAD,3150.0,ct angiography head
CT ANGIOGRAPHY NECK,3100.0,ct angiography neck
CT SCAN LOWER EXTREMITY W/O CONTRAST,2340.0,ct scan lower extremity w/o contrast
CT SCAN UPPER EXTREMITY W CONTRAST,2300.0,ct scan upper extremity w contrast
CT SCAN UPPER EXTREMITY WO CONT,2165.0,ct scan upper extremity wo cont
CTA ABDOMEN W/WO CONTRAST,3475.0,cta abdomen w/wo contrast
CULTURE ANAEROBIC,135.0,culture anaerobic
CULTURE ANY OTHER SOURCE,130.0,culture any other source
CULTURE BLOOD BACTERIAL,230.0,culture blood bacterial
CULTURE COLONY COUNT UA,100.0,culture colony count ua
CULTURE FECES,125.0,culture feces
CULTURE FUNGUS BLOOD,221.0,culture fungus blood
CULTURE FUNGUS OTHER,209.0,culture fungus other
CULTURE IDENTITY NUCLEIC ACID SEQ; EACH,510.0,culture identity nucleic acid seq; each
CULTURE SCREEN BACT/SINGL,75.0,culture screen bact/singl
CULTURE URINE INDENTIFIC,100.0,culture urine indentific
"CULTURE, ANAEROBE IDENT ADDITNAL EACH",148.0,"culture, anaerobe ident additnal each"
"CULTURE,ANY SOURCE\ID OF ISOLATES",206.0,"culture,any source\id of isolates"
"CULTURE,FUNGI/SKIN,HAIR,OR NAIL\ID",141.0,"culture,fungi/skin,hair,or nail\id"
CULTURE-SPECIMEN HANDLING,35.0,culture-specimen handling
CULTURELLE PROBIOTIC 1 CAPSULE,5.0,culturelle probiotic 1 capsule
CURETTE DERMAL DISPOSABLE 3 MM,9.5,curette dermal disposable 3 mm
CYANOCOBALAMIN (VIT B-12),150.0,cyanocobalamin (vit b-12)
CYCLOBENZAPRINE TAB [5 MG],2.5,cyclobenzaprine tab [5 mg]
CYCLOPENTOLATE OPTH DROPS 2ML BOTTLE,11.0,cyclopentolate opth drops 2ml bottle
CYCLOSPORINE,173.0,cyclosporine
CYMBALTA 30 MG TABLET,2.5,cymbalta 30 mg tablet
CYSTATIN C,130.0,cystatin c
CYSTOUREHTOSCOPY W/ FULGURATION MINOR,2550.0,cystourehtoscopy w/ fulguration minor
CYSTOURETHROSCOPY,1755.0,cystourethroscopy
CYSTOURETHROSCOPY W/DILATION,2240.0,cystourethroscopy w/dilation
CYSTOURETHROSCOPY W/REMOVAL STENT,1950.0,cystourethroscopy w/removal stent
"CYSTOURETHROSCOPY, W/INSERT STENT",3510.0,"cystourethroscopy, w/insert stent"
CYTO/MOLECULAR REPORT,116.0,cyto/molecular report
CYTOGENETICS,161.0,cytogenetics
"CYTOGENETICS, 100-300",340.0,"cytogenetics, 100-300"
CYTOPATHOLOGY CELL ENHANCEMENT TECHNIQUE,135.0,cytopathology cell enhancement technique
"CYTOPATHOLOGY,CERV OR VAG,INTERP DR.",90.0,"cytopathology,cerv or vag,interp dr."
CYTOTEC (MISOPROSTOL) 100MCG TAB,3.0,cytotec (misoprostol) 100mcg tab
D AND C (NON OB),3100.0,d and c (non ob)
D-DIMER QUANITATIVE,180.0,d-dimer quanitative
D-DIMER SEMIQUANTITATIVE,136.0,d-dimer semiquantitative
D5W .45% NS 1000ML,40.0,d5w .45% ns 1000ml
D5W 0.9% NS 1000ML,40.0,d5w 0.9% ns 1000ml
D5W LACTATED RINGERS 1000ML,40.0,d5w lactated ringers 1000ml
DALBAVANCIN VIAL [500 MG],2424.0,dalbavancin vial [500 mg]
DANTROLENE 20MG PWD VIAL IV,231.0,dantrolene 20mg pwd vial iv
DAPTOMYCIN VIAL [500 MG],101.0,daptomycin vial [500 mg]
DEBRIDE/SKIN/SUBQ TISSUE 20CM (PODIATRY),260.0,debride/skin/subq tissue 20cm (podiatry)
DEBRIDEMENT MUSCLE FASCIA 20CM OR LESS,150.0,debridement muscle fascia 20cm or less
DEBRIDEMENT OF 1-5 NAILES ANY METHOD,70.0,debridement of 1-5 nailes any method
DEBRIDEMENT OF NAILS 6 OR MORE,90.0,debridement of nails 6 or more
DEBRIDEMENT OPEN WOUND <20 SQCM,325.0,debridement open wound <20 sqcm
DEBRIDEMENT OPEN WOUND <20SQ CM,320.0,debridement open wound <20sq cm
DEBRIDEMENT OPEN WOUND EACH ADD 20 SQCM,275.0,debridement open wound each add 20 sqcm
"DEBRIDEMENT, BONE (FIRST 20 SQCM OR LESS",210.0,"debridement, bone (first 20 sqcm or less"
DECALCIFICATION TISSUE,20.0,decalcification tissue
DEHYROEPI ANDROSTERONE SULFATE,190.0,dehyroepi androsterone sulfate
DELIVERY ASSIST DEVICE,101.0,delivery assist device
DELTA CERHEAD 36MMX1.5MM,1890.0,delta cerhead 36mmx1.5mm
DEMADEX 20MG TAB,2.5,demadex 20mg tab
DEOXYRIBONUCLEIC ACID-DNA,128.0,deoxyribonucleic acid-dna
DEPO-MEDROL 40MG INJ,28.0,depo-medrol 40mg inj
DEPO-PROVERA SYR [150 MG],158.0,depo-provera syr [150 mg]
DESTRUCTION B9 LESION UP TO 14 LESIONS,270.0,destruction b9 lesion up to 14 lesions
DEVICE BASIC EVAL LEAD INTERSTIM,210.0,device basic eval lead interstim
DEVICE BASIC EVAL TEST KIT INTERSTIM,300.0,device basic eval test kit interstim
DEVICE EXTERNAL NEUROSTIM INTERSTIM,880.0,device external neurostim interstim
DEVICE INTERSTIM LEAD WIRE NONCONDUCTIVE,6770.0,device interstim lead wire nonconductive
DEVICE INTERSTIM PELVIC ELE STIM SYSTEM,18380.0,device interstim pelvic ele stim system
DEVICE INTERSTIM SACRAL NEURO-PROGRAM,3010.0,device interstim sacral neuro-program
DEXA AXIAL SKELETON VFA,750.0,dexa axial skeleton vfa
DEXA BONE DENSITY PERIPHERAL,285.0,dexa bone density peripheral
DEXA BONE DENSITY STUDY,500.0,dexa bone density study
DEXAMETHASONE 1 MG TAB,2.5,dexamethasone 1 mg tab
DEXAMETHASONE VIAL 10 MG/1 mL,12.0,dexamethasone vial 10 mg/1 ml
DEXMEDETOMIDINE VIAL [200 MCG/2 mL],15.0,dexmedetomidine vial [200 mcg/2 ml]
DEXTROSE 10% BAG [250 mL],40.0,dextrose 10% bag [250 ml]
DEXTROSE 5% BAG [500 ML],40.0,dextrose 5% bag [500 ml]
DEXTROSE 50%/50ML SYRINGE IV,76.0,dextrose 50%/50ml syringe iv
DHEA,207.0,dhea
DIABETES SELF MNGT TRAINING GROUP 30 MIN,58.0,diabetes self mngt training group 30 min
DIABETES SELF MNGT TRAINING INDIV 30 MIN,84.0,diabetes self mngt training indiv 30 min
DIAG MAMMO INCL CAD BILATERAL,465.0,diag mammo incl cad bilateral
DIAG MAMMO INCL CAD UNILATERAL,375.0,diag mammo incl cad unilateral
"DIAGNOSTIC BLOOD, OCCULT, FECAL",55.0,"diagnostic blood, occult, fecal"
DIAGNOSTIC COLONOSCOPY,1700.0,diagnostic colonoscopy
DIAZEPAM 10MG/2ML CARPUJECT INJ,122.0,diazepam 10mg/2ml carpuject inj
DIAZEPAM 5MG TAB,2.5,diazepam 5mg tab
DICLOFENAC GEL 1% [50 GM],28.0,diclofenac gel 1% [50 gm]
DIFLUCAN (FLUCONAZOLE) 100MG TAB,5.0,diflucan (fluconazole) 100mg tab
DIGOXIN,145.0,digoxin
DIHYDROTESTOSTERONE (DHT),156.0,dihydrotestosterone (dht)
"DIHYDROXYVITAMIN D 1,25-",326.0,"dihydroxyvitamin d 1,25-"
DILATATION CATHETER 18-20MM,422.0,dilatation catheter 18-20mm
DILATOR BALLOON CATHETER 15-18MM,422.0,dilator balloon catheter 15-18mm
DILATOR ESOPHAGEAL BALLOON,472.0,dilator esophageal balloon
DILTIAIZEM VIAL [125 MG/ 25 ML] - PUSH,31.0,diltiaizem vial [125 mg/ 25 ml] - push
DILTIAZEM VIAL [125 MG / 25 mL] - INF,69.0,diltiazem vial [125 mg / 25 ml] - inf
DIPHENHYDRAMINE ORAL SOLN [12.5 MG/5 ML],5.0,diphenhydramine oral soln [12.5 mg/5 ml]
DIPRIVAN 200MG/20 ML VIAL IV,16.0,diprivan 200mg/20 ml vial iv
DISCHARGE HOSPITAL,155.0,discharge hospital
DISCHARGE MANAGEMENT >30 MINUTES,207.5,discharge management >30 minutes
DISLOCATION MANIPULATION/FINGERS,661.0,dislocation manipulation/fingers
DISPENSED MEDICATION,1.0,dispensed medication
DISPOSABLE CAUTERY CORD,109.0,disposable cautery cord
DISPOSABLE EEA STAPLER 28MM,758.0,disposable eea stapler 28mm
DISPOSABLE RAZOR HEAD 4406,9.5,disposable razor head 4406
DISSECTION BALLOON,700.0,dissection balloon
DISSECTION BALLOON KINEY SHAPE,491.0,dissection balloon kiney shape
DIVALPROEX SODIUM DR [250 MG],2.5,divalproex sodium dr [250 mg]
DOBUTAMINE-D5W PREMIX [250 MG / 250 mL],36.0,dobutamine-d5w premix [250 mg / 250 ml]
DOBUTAMINE-D5W PREMIX [500 MG / 250 mL],110.0,dobutamine-d5w premix [500 mg / 250 ml]
DOLUTEGRAVIR TAB [50 MG],156.0,dolutegravir tab [50 mg]
DONEPEZIL TAB [5 MG],2.5,donepezil tab [5 mg]
DONOR ANTIGEN TYPING,255.0,donor antigen typing
DOPAmine PREMIX BAG [200 MG/250 mL],45.0,dopamine premix bag [200 mg/250 ml]
DOXYCYCLINE 100 MG,2.5,doxycycline 100 mg
DRAIN BLADDER W CATH INSERTION,3980.0,drain bladder w cath insertion
DRAIN BLAKE #19 RD,205.0,drain blake #19 rd
"DRAIN PENROSE 0.25"" x 12""",4.0,"drain penrose 0.25"" x 12"""
"DRAIN PENROSE 18""",25.0,"drain penrose 18"""
DRAIN TUBE SURGICAL 10 FR ROUND,49.0,drain tube surgical 10 fr round
DRAIN WOUND SABER,12.5,drain wound saber
DRAPE DISPOSABLE STERILE,6.0,drape disposable sterile
DRAPE EXTREMITY,40.0,drape extremity
DRAPE HAND 114x62,37.0,drape hand 114x62
"DRAPE IOBAN 23"" X 33""",10.0,"drape ioban 23"" x 33"""
DRAPE IOBAN ANTIMICROBIAL INCISE 23x17,22.5,drape ioban antimicrobial incise 23x17
DRAPE KIT C-ARMOR,179.0,drape kit c-armor
"DRAPE MEDIUM 40""X73""",6.5,"drape medium 40""x73"""
DRAPE OB UNDER BUTTOCKS STERILE 40X44,17.0,drape ob under buttocks sterile 40x44
"DRAPE ORTHO 47"" X 51""",13.5,"drape ortho 47"" x 51"""
DRAPE ORTHO HIP,92.0,drape ortho hip
DRAPE ORTHO SHOULDER,67.0,drape ortho shoulder
"DRAPE ORTHO W/POUCH 35""X30""",45.0,"drape ortho w/pouch 35""x30"""
"DRAPE SURGICAL FENESTRATED 18"" x 26""",4.0,"drape surgical fenestrated 18"" x 26"""
DRAPE SURGICAL THREE-QUARTER,11.0,drape surgical three-quarter
DRESSING 2X2 SINGLE,4.0,dressing 2x2 single
DRESSING 4X4 PACK,4.0,dressing 4x4 pack
DRESSING 4x4 SINGLE,4.0,dressing 4x4 single
DRESSING ABD 5x9,4.0,dressing abd 5x9
"DRESSING ALLEVYN 3""x3""",10.5,"dressing allevyn 3""x3"""
"DRESSING ALLEVYN 5""X5"" SILVER",54.0,"dressing allevyn 5""x5"" silver"
"DRESSING ALLEVYN 5""x5""",13.5,"dressing allevyn 5""x5"""
DRESSING BIOCLUSIVE,12.0,dressing bioclusive
DRESSING BIOCLUSIVE (4X4.75),4.0,dressing bioclusive (4x4.75)
"DRESSING DUODERM 1.25""X1.5""",4.0,"dressing duoderm 1.25""x1.5"""
DRESSING EYE PAD OVAL,22.0,dressing eye pad oval
DRESSING FENES ST,67.0,dressing fenes st
"DRESSING HYDROCOLLOID 1.75'""X1.5""",4.0,"dressing hydrocolloid 1.75'""x1.5"""
"DRESSING HYDROCOLLOID 2""X4""",10.5,"dressing hydrocolloid 2""x4"""
"DRESSING HYDROCOLLOID 4""X4""",7.0,"dressing hydrocolloid 4""x4"""
"DRESSING IODOFORM PACKING STRIP 1/4""",8.0,"dressing iodoform packing strip 1/4"""
"DRESSING KERLIX 4.5""",4.0,"dressing kerlix 4.5"""
DRESSING PICC CHANGE SYSTEM,37.0,dressing picc change system
"DRESSING PLAIN PACKING STRIP 1""x5YD",9.0,"dressing plain packing strip 1""x5yd"
"DRESSING PLAIN PACKING STRIP 1/2"" 261",17.0,"dressing plain packing strip 1/2"" 261"
"DRESSING PLAIN PACKING STRIP 1/2"" 7632",7.5,"dressing plain packing strip 1/2"" 7632"
"DRESSING PLAIN PACKING STRIP 1/2""X5YD",7.5,"dressing plain packing strip 1/2""x5yd"
"DRESSING PLAIN PACKING STRIP 1/4""X5YD",17.5,"dressing plain packing strip 1/4""x5yd"
"DRESSING PLAIN PAKCING STRIP 2""X5YD",11.5,"dressing plain pakcing strip 2""x5yd"
DRESSING PROMOGRAM PRISMA MATRIX 4.34,38.0,dressing promogram prisma matrix 4.34
DRESSING SILVE CALCIUM ALGINATE 4X5,18.0,dressing silve calcium alginate 4x5
"DRESSING SURGIFOAM HEMOSTATIC 3""X5""",150.0,"dressing surgifoam hemostatic 3""x5"""
"DRESSING TEGADERM 3.5""X4""",14.0,"dressing tegaderm 3.5""x4"""
"DRESSING TEGADERM 4""X4.75""",4.0,"dressing tegaderm 4""x4.75"""
"DRESSING TEGADERM 4""X6 1/8""",5.5,"dressing tegaderm 4""x6 1/8"""
DRESSING TEGADERM 6CMX7CM,4.0,dressing tegaderm 6cmx7cm
"DRESSING TEGADERM 6X6.25""",25.0,"dressing tegaderm 6x6.25"""
"DRESSING TEGADERM CHG 3.5""X4.5""",31.0,"dressing tegaderm chg 3.5""x4.5"""
"DRESSING TEGADERM CHG 4X6 1/8""",36.0,"dressing tegaderm chg 4x6 1/8"""
DRESSING TEGADERM IV PORT,59.0,dressing tegaderm iv port
"DRESSING TEGADERM IV W/CHG 4.75""X4.75""",41.0,"dressing tegaderm iv w/chg 4.75""x4.75"""
"DRESSING TEGADERM PLUS PAD 6""X6""",10.0,"dressing tegaderm plus pad 6""x6"""
"DRESSING TEGADERM TRANS 3.5""X10""",9.5,"dressing tegaderm trans 3.5""x10"""
DRESSING TELFA (3X8),4.0,dressing telfa (3x8)
DRESSING TELFA 2X3,4.0,dressing telfa 2x3
DRESSING TELFA 3X4 1050,4.0,dressing telfa 3x4 1050
DRESSING TELFA 3X4 2132,4.0,dressing telfa 3x4 2132
"DRESSING THERABOND 4""X8""",32.0,"dressing therabond 4""x8"""
DRESSING VASELINE (5X9),5.0,dressing vaseline (5x9)
DRESSING VASELINE GAUZE 3X18,4.0,dressing vaseline gauze 3x18
DRESSING VASELINE GAUZE 3X9,2.0,dressing vaseline gauze 3x9
DRESSING WOUND VAC GRANUFOAM MD M8275052,150.0,dressing wound vac granufoam md m8275052
DRESSING WOUND VAC GRANUFOAM SM M8275051,120.0,dressing wound vac granufoam sm m8275051
DRESSING WOUND VAC SIMPLACE  MEDIUM,179.0,dressing wound vac simplace medium
DRESSING XEROFOAM GAUZE 1X8,4.0,dressing xerofoam gauze 1x8
DRESSING: ADAPTIC NON-ADHERING 3X8,4.0,dressing: adaptic non-adhering 3x8
DRILL 2.6 MM HARD BONE,323.0,drill 2.6 mm hard bone
DRILL BIT 2.0MM,398.0,drill bit 2.0mm
DRILL BIT 2.0MM X 30MM,878.0,drill bit 2.0mm x 30mm
DRILL BIT 2.5 MM X 60 MM,878.0,drill bit 2.5 mm x 60 mm
DRILL BIT 2.7MM,868.0,drill bit 2.7mm
DRILL BIT 2.8MM X 60MM,878.0,drill bit 2.8mm x 60mm
DRILL BIT 3 MM (ANKLE),552.0,drill bit 3 mm (ankle)
DRILL BIT 3MM (SHOULDER),671.0,drill bit 3mm (shoulder)
DRILL BIT CANNULATED 2.0MM (AO),584.0,drill bit cannulated 2.0mm (ao)
DRILL BIT CANNULATED 2.5MM,438.0,drill bit cannulated 2.5mm
DRILL BIT JUGGERKNOT SOFT ANCHOR 2.9MM,339.0,drill bit juggerknot soft anchor 2.9mm
DRILL FLEX W/HUB AND SHARP OBTURATOR,354.0,drill flex w/hub and sharp obturator
DRILL FLIPCUTTER III,913.0,drill flipcutter iii
DRIVER HEXSTAR 4.0MM,1830.0,driver hexstar 4.0mm
DRIVER STAR 15 STRAIGHT,994.0,driver star 15 straight
DRIVER STRAIGHT SELF RETAINING,910.0,driver straight self retaining
DRUG INDUCED SLEEP ENDOSCOPY,2035.0,drug induced sleep endoscopy
DRUG SCREEN QUAN LEVETRICETAM,242.0,drug screen quan levetricetam
DRUG SCREEN QUANT ALCOHOLS,215.0,drug screen quant alcohols
DRUG TEST PRSMV CHEM ANLYZR,223.0,drug test prsmv chem anlyzr
DRUG TEST PRSMV DIR OPT OBS,210.0,drug test prsmv dir opt obs
DUONEB NEB [2.5-0.5 MG/3 ML] (4465),2.5,duoneb neb [2.5-0.5 mg/3 ml] (4465)
DUPLEX LOWER EXT BILATERAL,1225.0,duplex lower ext bilateral
"DUPLEX RENAL/ABDOMINAL, COMPLETE STUDY",1075.0,"duplex renal/abdominal, complete study"
DUPLEX SCAN EXTRACRANIAL ATERIES BI,1535.0,duplex scan extracranial ateries bi
DUPLEX SCAN EXTREMITY VEINS LIMITED,1105.0,duplex scan extremity veins limited
DUPLEX SCAN LOWER EXT LIMITED ARTERIAL,1070.0,duplex scan lower ext limited arterial
DURAPREP SOLUTION 26ML BOTTLE,17.5,duraprep solution 26ml bottle
DURVALUMAB VIAL [500 MG/10 mL],9500.0,durvalumab vial [500 mg/10 ml]
DYNANITE PIP - STR 12MM W/INSTRUMENT,3032.0,dynanite pip - str 12mm w/instrument
ECG MONITOR SCANNING ANALYSIS W/ REPORT,380.0,ecg monitor scanning analysis w/ report
ECG STRESS TEST-REP INTERPRETATION ONLY,51.0,ecg stress test-rep interpretation only
ECG STRESS TEST-SUPERVISION ONLY,61.0,ecg stress test-supervision only
ECG STRESS TEST-TEST ONLY,1150.0,ecg stress test-test only
"ECHOCARDIOGRAPHY 2D, M-MODE, DOPPLER",2320.0,"echocardiography 2d, m-mode, doppler"
ECHOCARDIOGRAPY/FOLLOW UP-LIMITED ST,1100.0,echocardiograpy/follow up-limited st
EDEMAWEAR OPEN LARGE,75.0,edemawear open large
EDEMAWEAR OPEN MED,52.0,edemawear open med
EDEMAWEAR OPEN SMALL 0600001,23.0,edemawear open small 0600001
EFLAPEGRASTIM-XNST SYR [13.2 MG/0.6 ML],6750.0,eflapegrastim-xnst syr [13.2 mg/0.6 ml]
EKG 12 LEAD,320.0,ekg 12 lead
EKG INTERPRETATION ONLY,60.0,ekg interpretation only
EKG TRACING,70.0,ekg tracing
EKG WITH INTERPRETATION,130.0,ekg with interpretation
